pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,870.211874033827
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,856.1169641169557
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,855.7978531287583
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,853.6888545696762
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,853.5371630846827
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,852.9672552712797
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,850.7506310583257
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,853.786453897401
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,854.2609590052381
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,854.6450937214279
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,854.8617964824625
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,854.6803444779354
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,856.2715631601735
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,854.2325330858454
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,855.4920919066599
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,856.6915088907601
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,858.6846342401781
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,859.1890986288912
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,859.5060759227738
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,860.589394924873
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,858.8343968140845
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,859.7623715329604
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,860.6500261627302
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,861.0370304855285
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,860.3174912545699
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,860.0578719053736
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,859.1491267691772
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,857.397062385183
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,858.3234858634733
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,858.8005095475362
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,859.1866831723673
